Region1	n_model	regions	regions2
AON_L	20	Paleocortex	Cortex
AON_R	21	Paleocortex	Cortex
APH_L	54	Temporal_cortex	Cortex
APH_R	67	Temporal_cortex	Cortex
CaB_L	55	BasalForebrain	BasalForebrain
CaB_R	59	BasalForebrain	BasalForebrain
CEN_L	149	Amygdala	Amygdala
CEN_R	121	Amygdala	Amygdala
CgGc_L	94	Limbic_cortex	Cortex
CgGc_R	41	Limbic_cortex	Cortex
CgGr_L	123	Limbic_cortex	Cortex
CgGr_R	105	Limbic_cortex	Cortex
CoA_L	62	Amygdala	Amygdala
CoA_R	112	Amygdala	Amygdala
Cun_L	47	Occipital_cortex	Cortex
Cun_R	50	Occipital_cortex	Cortex
FuGt_L	79	Temporal_cortex	Cortex
FuGt_R	42	Temporal_cortex	Cortex
HiB_L	180	Hippocampus	Hippocampus
HiB_R	165	Hippocampus	Hippocampus
HiH_L	112	Hippocampus	Hippocampus
HiH_R	163	Hippocampus	Hippocampus
HiT_L	121	Hippocampus	Hippocampus
HiT_R	66	Hippocampus	Hippocampus
IFGop_L	78	Frontal_cortex	Cortex
IFGop_R	106	Frontal_cortex	Cortex
IFGtr_L	71	Frontal_cortex	Cortex
IFGtr_R	40	Frontal_cortex	Cortex
ITG_L	40	Temporal_cortex	Cortex
ITG_R	68	Temporal_cortex	Cortex
La_L	151	Amygdala	Amygdala
La_R	126	Amygdala	Amygdala
LiG_L	58	Occipital_cortex	Cortex
LIG_L	111	Temporal_cortex	Cortex
LiG_R	79	Occipital_cortex	Cortex
LIG_R	130	Temporal_cortex	Cortex
MFG_L	162	Frontal_cortex	Cortex
MFG_R	105	Frontal_cortex	Cortex
MTG_L	78	Temporal_cortex	Cortex
MTG_R	85	Temporal_cortex	Cortex
PaO_L	160	Parietal_cortex	Cortex
PaO_R	119	Parietal_cortex	Cortex
Pir_L	76	Paleocortex	Cortex
Pir_R	99	Paleocortex	Cortex
PoCG_L	59	Parietal_cortex	Cortex
PoCG_R	26	Parietal_cortex	Cortex
POrG_L	100	Frontal_cortex	Cortex
POrG_R	111	Frontal_cortex	Cortex
PPH_L	62	Limbic_cortex	Cortex
PPH_R	86	Limbic_cortex	Cortex
PrCG_L	107	Frontal_cortex	Cortex
PrCG_R	71	Frontal_cortex	Cortex
PRG_L	106	Temporal_cortex	Cortex
PRG_R	99	Temporal_cortex	Cortex
Pu_L	132	BasalForebrain	BasalForebrain
Pu_R	115	BasalForebrain	BasalForebrain
ReG_L	59	Frontal_cortex	Cortex
ReG_R	53	Frontal_cortex	Cortex
RoG_L	103	Frontal_cortex	Cortex
RoG_R	127	Frontal_cortex	Cortex
SCG_L	81	Frontal_cortex	Cortex
SCG_R	128	Frontal_cortex	Cortex
SIG_L	82	Temporal_cortex	Cortex
SIG_R	103	Temporal_cortex	Cortex
SMG_L	48	Parietal_cortex	Cortex
SMG_R	68	Parietal_cortex	Cortex
SOG_L	52	Occipital_cortex	Cortex
SOG_R	54	Occipital_cortex	Cortex
SPL_L	57	Parietal_cortex	Cortex
SPL_R	65	Parietal_cortex	Cortex
STG_L	56	Temporal_cortex	Cortex
STG_R	39	Temporal_cortex	Cortex
TP_L	70	Temporal_cortex	Cortex
TP_R	97	Temporal_cortex	Cortex
TTG_L	75	Temporal_cortex	Cortex
TTG_R	83	Temporal_cortex	Cortex
